,Pts_sim0,Pts_sim1,Pts_sim2,Pts_sim3,Pts_sim4,Pts_sim5,Pts_sim6,Pts_sim7,Pts_sim8,Pts_sim9
2025-10-31,5,5,4,7,8,9,4,5,1,2
2025-11-30,12,8,9,11,9,12,11,8,3,8
2025-12-31,14,12,11,20,8,15,14,12,10,14
2026-01-31,19,18,18,25,10,26,15,17,17,16
2026-02-28,25,23,28,25,22,28,22,21,30,24
2026-03-31,30,31,35,30,24,37,34,26,35,27
2026-04-30,34,39,42,37,29,41,48,38,45,29
2026-05-31,40,41,44,38,33,44,52,37,52,35
2026-06-30,42,41,50,51,40,54,56,45,57,40
2026-07-31,47,49,51,60,45,63,58,52,59,54
2026-08-31,59,62,55,76,64,74,72,64,67,60
2026-09-30,72,68,59,89,80,81,86,71,77,64
2026-10-31,87,76,64,94,97,96,84,86,84,75
2026-11-30,89,93,81,94,103,111,86,91,83,83
2026-12-31,94,100,78,101,109,113,98,103,88,86
2027-01-31,93,112,86,116,117,122,105,107,99,95
2027-02-28,102,109,98,122,125,125,103,118,105,107
2027-03-31,108,119,101,120,129,131,116,129,110,109
2027-04-30,114,133,111,124,139,137,122,134,113,124
2027-05-31,119,132,115,135,139,151,138,142,121,134
2027-06-30,134,137,128,145,142,160,148,160,121,138
2027-07-31,155,140,138,145,142,170,164,170,140,145
2027-08-31,159,150,148,152,167,171,163,173,154,151
2027-09-30,163,159,147,158,171,185,181,183,158,154
2027-10-31,173,172,166,171,177,190,187,196,167,150
2027-11-30,176,188,176,179,179,207,194,201,173,158
2027-12-31,194,197,185,183,187,202,208,206,186,169
2028-01-31,202,203,195,199,197,211,211,221,204,176
2028-02-29,209,214,205,218,221,218,211,222,213,191
2028-03-31,224,225,203,228,224,223,216,240,218,201
2028-04-30,240,238,210,241,230,233,222,254,222,203
2028-05-31,247,246,230,240,229,235,239,249,247,220
2028-06-30,255,245,234,256,227,232,237,264,277,242
2028-07-31,261,262,249,250,228,249,240,283,280,257
2028-08-31,283,286,256,270,245,263,254,291,300,271
2028-09-30,272,308,271,296,241,267,272,296,322,272
2028-10-31,281,321,277,305,266,274,270,312,331,285
2028-11-30,282,323,285,322,269,273,274,331,349,284
2028-12-31,288,330,300,323,263,276,275,335,362,305
2029-01-31,295,334,308,330,279,299,286,348,374,326
2029-02-28,298,341,322,338,294,301,290,350,369,329
2029-03-31,317,354,334,333,299,314,313,350,371,324
2029-04-30,317,352,328,347,299,318,324,363,372,340
2029-05-31,340,361,342,361,303,314,336,376,376,351
2029-06-30,347,369,355,368,317,319,334,389,386,347
2029-07-31,352,373,360,374,316,322,331,401,386,348
2029-08-31,360,378,362,370,328,329,331,422,383,346
2029-09-30,364,387,349,365,341,342,329,437,384,344
2029-10-31,364,396,362,361,346,344,317,431,389,350
2029-11-30,377,416,364,359,355,336,331,433,399,355
2029-12-31,387,419,385,384,361,341,327,436,389,356
2030-01-31,393,423,396,369,352,354,331,431,386,364
2030-02-28,397,444,393,372,365,349,341,428,375,369
2030-03-31,396,431,400,379,374,353,341,424,373,390
2030-04-30,399,417,390,378,371,369,343,427,383,387
2030-05-31,382,412,397,376,371,353,349,426,394,398
2030-06-30,400,402,399,389,362,363,348,429,401,400
2030-07-31,411,406,392,393,362,389,349,430,405,395
2030-08-31,420,420,391,398,360,402,352,445,400,398
2030-09-30,413,419,390,395,369,399,353,448,407,409
